id	row	cost	en	jp
V11-B12-G1-010	4	0.0947	Toma took the scarf to the office and mentioned where and when he had found it.	トウマは職員室へ持って行き、見つけた場所と時刻を伝えました。
V11-B12-G1-010	5	0.1631	The student later identified a small star mark inside the scarf.	後でその生徒は内側の小さな星印を確認しました。
V11-B12-G1-010	6	1.373	Time, place, and the mark all supported the return.	時刻、場所、印の三つが返却の根拠になりました。
V11-B12-G1-011	1	0.1468	In the library, Emi noticed that the return cart was parked in front of a low shelf.	図書室で、エミは返却本のカートが低い本棚の前に置かれていることに気づきました。
V11-B12-G1-011	2	1.3647	A younger student tried to reach a book but could not get close enough.	年下の生徒が本を取ろうとしましたが、十分近づけませんでした。
V11-B12-G1-011	3	0.312	Emi first moved the cart into the aisle, but then people had to walk around it.	エミは最初カートを通路へ動かしましたが、今度は人がよけて歩かなければなりませんでした。
V11-B12-G1-011	4	0.6966	She asked the librarian where it should go.	そこで司書の先生に置き場所を尋ね、一緒に返却カウンターの横へ移しました。
V11-B12-G1-011	5	0.8059	Together they placed it beside the return desk, where it did not block shelves or the aisle.	そこなら本棚も通路もふさぎません。
V11-B12-G1-011	6	0.423	The younger student could reach the book, and visitors could still move safely through the library.	年下の生徒は本を取れ、利用者も安全に図書室を歩けました。
V11-B12-G1-012	1	0.0262	The music club received three printed parts of a new practice song.	音楽部に新しい練習曲の印刷された3枚が届きました。
V11-B12-G1-012	2	0.0948	The pages had no numbers, and Ken put them in the order he found them.	ページ番号がなく、ケンは見つけた順に並べました。
V11-B12-G1-012	3	0.0923	When the group sang, the story jumped from saying goodbye to meeting for the first time.	歌ってみると、物語が別れの場面から初対面へ飛んでしまいました。
V11-B12-G1-012	4	0.2367	Aya read the first and last lines of each page.	アヤは各ページの最初と最後の行を読みました。
V11-B12-G1-012	5	1.4481	One page introduced the friends, another described their day together, and the last ended with goodbye.	1枚は友達が出会い、次の1枚は一緒に過ごす一日を描き、最後の1枚は別れで終わっていました。
V11-B12-G1-012	6	1.5171	The club changed the order and sang again.	部員は順番を直してもう一度歌いました。
V11-B12-G1-012	7	0.1734	This time the story moved naturally from meeting to spending time together and then parting.	今度は出会い、一緒に過ごし、別れるという自然な流れになりました。
V11-B12-G1-013	1	0.0262	Visitors to the school garden were supposed to follow a sign toward the flower beds.	学校の庭を訪れる人は、花壇へ向かう案内板に従うことになっていました。
V11-B12-G1-013	2	0.0113	After a windy night, the sign still stood beside the path, but its arrow pointed toward the tool shed.	風の強い夜の後、案内板は道のそばに立っていましたが、矢印は道具小屋を指していました。
V11-B12-G1-013	3	0.5599	Hana saw two visitors start that way.	ハナは二人の来訪者がそちらへ進み始めるのを見ました。
V11-B12-G1-013	4	0.034	She checked the garden map and noticed that the sign had turned around on its post.	庭の地図を確認すると、案内板が支柱の上で回ってしまったと分かりました。
V11-B12-G1-013	5	0.1333	With a teacher, she turned it back and tightened the holder.	先生と一緒に向きを戻し、留め具を締めました。
V11-B12-G1-013	6	0.0907	The next visitors followed the arrow to the flower beds.	次の来訪者は矢印に従って花壇へ行けました。
V11-B12-G1-013	7	0.2004	Hana also added a note to the garden check sheet so the sign would be checked after strong wind.	ハナは強風の後に案内板を確認するよう点検表にも書き加えました。
V11-B12-G1-014	1	0.0645	At the shoe shelves, Jun found a pair of white indoor shoes on the floor.	靴箱のところで、ジュンは床に白い上履きが一組あるのを見つけました。
V11-B12-G1-014	2	1.6422	One shoe had the name Yuta written clearly inside.	片方の内側にはユウタという名前がはっきり書かれていました。
V11-B12-G1-014	3	0.1185	The other had an old, faint name and a newer mark that looked like Yu.	もう片方には薄い古い名前と、「ユ」のように見える新しい印がありました。
V11-B12-G1-014	5	0.1577	Yuta recognized only the first shoe and said his other shoe was already in his bag.	ユウタは最初の一足だけ自分の物だと分かり、もう片方はすでにかばんにあると言いました。
V11-B12-G1-014	6	0.325	The second shoe belonged to another student whose name began with Yu.	二足目は名前が「ユ」で始まる別の生徒の物でした。
V11-B12-G1-014	7	1.5996	Asking before returning the pair prevented two different shoes from being mixed again.	返す前に確認したことで、違う上履きが再び混ざるのを防げました。
V11-B12-G1-015	1	0.0527	For an after-school activity, Miki prepared twenty snack boxes because twenty students had attended the day before.	放課後活動のため、ミキは前日に20人参加していたのでおやつ箱を20個用意しました。
V11-B12-G1-015	3	0.0054	Miki told the teacher and added one more box from the supply shelf.	ミキは先生に伝え、予備棚からもう1箱追加しました。
V11-B12-G1-015	4	0.209	She also wrote today's number on the box list.	そして箱の一覧に今日の人数を書きました。
V11-B12-G1-015	5	0.3091	Everyone received one snack.	全員が一つずつ受け取れました。
V11-B12-G1-015	6	0.1702	Using today's attendance instead of yesterday's number made the count correct.	昨日の人数ではなく今日の出席を使ったことで、正しい数を準備できました。
V11-B12-G1-016	1	0.1169	The class was comparing how two bean plants grew in different amounts of light.	クラスでは、光の量が違う場所で2本の豆がどう育つか比べていました。
V11-B12-G1-016	2	0.0182	Cup A was supposed to stay by the bright south window, and Cup B by the darker north window.	Aのカップは明るい南側の窓、Bは暗めの北側の窓に置く予定でした。
V11-B12-G1-016	3	0.0688	After cleaning time, Rina noticed Cup B beside the south window too.	掃除の後、リナはBも南側の窓にあることに気づきました。
V11-B12-G1-016	4	0.1081	She checked the labels and the class chart before moving anything.	何かを動かす前にラベルとクラスの記録表を確認しました。
V11-B12-G1-016	5	1.5459	The chart confirmed the two planned places, so she returned Cup B to the north window and told the teacher.	表で予定の場所が確認できたため、Bを北側へ戻し先生に伝えました。
V11-B12-G1-016	6	1.3623	Because the mistake was found early, the class could record the mix-up and continue the observation without assuming that Cup B had stayed by the north window all day.	早く間違いに気づいたので、その入れ替わりを記録し、Bが一日中北側の窓にあったと決めつけずに観察を続けることができました。
V11-B12-G1-017	1	0.0039	Before the school presentation, the stage plan showed four rows of five chairs.	学校発表会の前、舞台図には5脚ずつ4列の椅子が描かれていました。
V11-B12-G1-017	2	0.1772	When Daichi counted the chairs, the last row had only four.	ダイチが数えると、最後の列だけ4脚しかありませんでした。
V11-B12-G1-017	3	1.6281	He did not bring a new chair immediately because one might simply have been moved.	どこかへ移動しただけかもしれないので、すぐ新しい椅子を持ってくることはしませんでした。
V11-B12-G1-017	4	0.0998	He checked the side of the stage and found a matching chair beside the piano.	舞台脇を確認すると、ピアノのそばに同じ椅子がありました。
V11-B12-G1-017	5	0.0514	A music group had used it during morning practice.	朝の練習で音楽グループが使っていたのです。
V11-B12-G1-017	6	1.47	Daichi returned it to the open place in the final row and counted all twenty chairs again.	ダイチは空いている場所へ戻し、20脚すべてをもう一度数えました。
V11-B12-G1-017	7	0.3148	The arrangement then matched the plan without adding an unnecessary extra chair.	余分な椅子を追加せず、配置は図どおりになりました。
V11-B12-G2-001	1	0.042	One of the two water taps near the gym was closed for repair, and a long line formed during the morning break.	体育館近くにある二つの水道のうち一つが修理のため使えなくなり、午前の休み時間に長い列ができました。
V11-B12-G2-001	2	0.0938	At first, the student council planned to tell everyone to drink faster.	生徒会は最初、みんなにもっと早く水を飲むよう呼びかけようと考えました。
V11-B12-G2-001	3	0.1556	Aoi watched the line for three breaks instead.	しかしアオイは三回の休み時間に列を観察しました。
V11-B12-G2-001	4	0.0107	She found that the longest wait came in the first five minutes, when two classes arrived together.	いちばん待ち時間が長かったのは、二つのクラスが同時に来る最初の5分間だと分かりました。
V11-B12-G2-001	5	1.4428	The council asked one class to begin its break at the courtyard fountain and the other to use the gym fountain first.	そこで生徒会は、一方のクラスには中庭の水道から使い始めてもらい、もう一方には体育館の水道を先に使ってもらいました。
V11-B12-G2-001	7	1.5613	The council kept the temporary schedule until the second tap was repaired.	二つ目の水道が直るまで、この臨時の時間分けを続けました。
V11-B12-G2-002	1	0.1831	In June, Class 2-2 tried a new floor fan because the back of the room felt hot.	6月、2年2組では教室の後ろが暑かったため、新しい床置き扇風機を試しました。
V11-B12-G2-002	2	0.1016	During the first lesson, the fan cooled the students near the windows, but worksheets on three desks blew onto the floor.	最初の授業では窓側の生徒は涼しくなりましたが、三つの机のプリントが床へ飛んでしまいました。
V11-B12-G2-002	3	0.0462	Turning the fan off solved the paper problem but made the room uncomfortable again.	扇風機を止めると紙の問題は解決しましたが、また教室が暑くなりました。
V11-B12-G2-002	4	0.013	Rena suggested moving it to the back corner and pointing it slightly upward.	レナは扇風機を後ろの角へ移し、少し上向きにすることを提案しました。
V11-B12-G2-002	5	0.0198	The class tested that position during two lessons.	クラスはその位置を二回の授業で試しました。
V11-B12-G2-002	6	0.116	The air reached the center of the room, and only one loose note moved.	風は教室中央まで届き、動いたのは留めていないメモ一枚だけでした。
V11-B12-G2-002	7	0.3474	Students then used small clips for papers during fan time.	その後、扇風機を使う時間には紙を小さなクリップで留めることにしました。
V11-B12-G2-002	8	0.3437	Their final plan solved both problems better than simply choosing between a hot room and flying worksheets.	暑さか紙が飛ぶかの二択にせず、両方の問題をよりよく解決できました。
V11-B12-G2-003	1	0.1538	At the school reuse day, donated uniforms were placed on one long table.	学校のリユース会で、寄付された制服が一つの長い机に並べられていました。
V11-B12-G2-003	2	0.2109	Families had to lift many shirts and jackets before finding the right size, and the line moved slowly.	家族は合うサイズを見つけるまで多くのシャツや上着を持ち上げなければならず、列の進みも遅くなっていました。
V11-B12-G2-003	3	0.1692	Mei and Kenta first thought they needed a larger table.	メイとケンタは最初、もっと大きな机が必要だと思いました。
V11-B12-G2-003	4	0.0113	Then they watched what visitors were doing and noticed that most of the time was spent checking labels.	しかし来場者の様子を見ると、多くの時間がサイズ表示の確認に使われていると気づきました。
V11-B12-G2-003	5	0.1054	They sorted the clothes into three size groups and placed jackets behind shirts within each group.	そこで服を三つのサイズに分け、それぞれの中でシャツの後ろに上着を置きました。
V11-B12-G2-003	6	0.2631	They also made large size cards that could be read from the entrance.	入口から読める大きなサイズ表示も作りました。
V11-B12-G2-003	7	1.4308	In the next hour, families found items more quickly, and volunteers had fewer questions to answer.	次の一時間では家族が品物をより早く見つけ、ボランティアへの質問も減りました。
V11-B12-G2-003	8	0.1106	The same table worked well once the information was organized around what visitors needed to know first.	同じ机でも、来場者が最初に知りたい情報に合わせて整理すると使いやすくなりました。
V11-B12-G2-004	1	0.17	The cycling club usually left school at 5:20 for its short practice ride.	自転車部は普段、短い練習走行のため5時20分に学校を出ていました。
V11-B12-G2-004	2	1.4014	In September, that time still felt bright, so members only checked their lights once a month.	9月はその時間でもまだ明るく感じたので、ライトの確認は月に一度だけでした。
V11-B12-G2-004	3	0.2854	By late October, the return trip was much darker.	10月下旬になると、帰り道はずっと暗くなりました。
V11-B12-G2-004	4	1.5169	One evening, Sota noticed that Aya's rear light was weak before the group left.	ある夕方、出発前にソウタがアヤの後ろのライトが弱いことに気づきました。
V11-B12-G2-004	6	0.2372	The club compared sunset times for September and late October and changed its rule from that week on: lights would be checked before every evening ride, and the group would leave ten minutes earlier.	部員は9月と10月下旬の日没時刻を比べ、その週からは夕方の走行前に毎回ライトを確認し、10分早く出発することにしました。
V11-B12-G2-004	7	0.2051	The new rule was based on the season and the actual condition of the bicycles, not on the brighter rides they remembered from summer.	夏の明るい走行の記憶ではなく、季節と実際の自転車の状態に基づくルールになりました。
V11-B12-G2-005	1	0.072	The broadcasting team announced a schedule change at lunchtime, but several students in the science hallway did not hear it.	放送委員が昼休みに予定変更を知らせましたが、理科室前の廊下にいた何人かの生徒には聞こえませんでした。
V11-B12-G2-005	2	0.1089	The speakers worked, so the team first wondered whether the students had simply been talking.	スピーカー自体は動いていたため、委員は最初、生徒たちが話していただけではないかと考えました。
V11-B12-G2-005	3	0.0384	Yuna tested the message in five places while another student read the same sentence from the studio.	ユナは別の生徒に放送室から同じ文を読んでもらい、校内五か所で聞こえ方を確かめました。
V11-B12-G2-005	4	0.0016	It was clear in four places, but near the science rooms the sound mixed with a loud ventilation fan.	四か所でははっきり聞こえましたが、理科室付近では大きな換気扇の音と重なっていました。
V11-B12-G2-005	5	0.1884	The team could not move the ceiling speaker that day.	その日に天井のスピーカーを移すことはできませんでした。
V11-B12-G2-005	6	0.0648	Instead, they repeated important messages after the fan stopped and posted the same information on the hallway board.	そこで重要な放送は換気扇が止まった後にも繰り返し、同じ内容を廊下の掲示板にも出すことにしました。
V11-B12-G2-005	7	0.0504	A later test showed that students there could now get the message in two ways.	後の確認では、そこにいる生徒も二つの方法で情報を受け取れました。
V11-B12-G2-005	8	0.0291	Testing the location revealed a problem that the studio alone could not show.	放送室だけでは分からない問題が、場所を変えて試すことで見つかりました。
V11-B12-G2-006	1	0.1219	The eco club used a compost bin for vegetable scraps from cooking activities.	環境部は調理活動で出る野菜くずを堆肥箱に入れていました。
V11-B12-G2-006	2	0.1988	In early summer, many small flies appeared around it.	初夏になると、その周りに小さなハエが多く集まりました。
V11-B12-G2-006	3	0.217	Some members wanted to stop composting, but Nami suggested checking what had changed first.	堆肥作りをやめようという部員もいましたが、ナミはまず何が変わったか確かめることを提案しました。
V11-B12-G2-006	4	0.0039	The record sheet showed that the bin had recently received several bags of wet fruit waste and very little dry material.	記録を見ると、最近は水分の多い果物くずを何袋も入れた一方、乾いた材料がほとんど入っていませんでした。
V11-B12-G2-006	5	0.0099	The club mixed in dry leaves and torn paper, covered new food scraps with that mixture, and kept the lid closed.	部員は乾いた葉とちぎった紙を混ぜ、新しい生ごみの上にもその材料をかぶせ、ふたを閉めました。
V11-B12-G2-006	7	0.1456	The club kept composting but added a simple rule about balancing wet scraps with dry material.	堆肥作りは続けつつ、湿ったくずと乾いた材料のバランスを取るという簡単なルールを加えました。
V11-B12-G2-006	8	0.3802	Their decision came from the recent records rather than from assuming that compost itself was the problem.	堆肥そのものが原因だと決めつけず、最近の記録から判断しました。
V11-B12-G2-007	1	0.0035	During a riverside cleanup, volunteers used the same thin bags for leaves, plastic bottles, and metal cans.	川沿いの清掃で、ボランティアは葉、ペットボトル、金属缶に同じ薄い袋を使っていました。
V11-B12-G2-007	2	0.0594	Two bags tore when sharp can edges pressed against them.	鋭い缶の縁が当たり、二つの袋が破れました。
V11-B12-G2-007	3	1.6205	No one was hurt, but the team stopped to review the problem.	けが人はいませんでしたが、作業を止めて原因を確認しました。
V11-B12-G2-007	4	0.0972	Riku checked the unopened supplies and found that thicker bags had been prepared for heavy or sharp waste.	リクが未使用の備品を見ると、重い物や鋭い物用の厚い袋が用意されていました。
V11-B12-G2-007	5	0.0065	Their labels had been hidden under a box, so volunteers had not noticed them.	しかし表示が箱の下に隠れ、みんなが気づいていませんでした。
V11-B12-G2-007	6	0.1656	The team separated cans into the stronger bags and used the thin ones for light waste.	そこで缶は丈夫な袋へ分け、薄い袋は軽いごみに使いました。
V11-B12-G2-007	7	0.2031	They also placed a sample of each bag beside a large material sign.	さらに大きな材質表示のそばに、それぞれの袋の見本を置きました。
V11-B12-G2-007	8	0.0828	At the next cleanup, volunteers chose the correct bag without asking.	次の清掃では、質問しなくても適切な袋を選べました。
V11-B12-G2-007	9	0.0003	The problem was not solved by carrying bags more carefully; it was solved by matching the bag to the material.	袋をもっと慎重に持つだけでなく、ごみの種類に袋を合わせることで問題を解決しました。
V11-B12-G2-008	2	0.2227	After three days, most answers asked for more library seats.	三日後、回答の多くは図書室の席を増やしてほしいというものでした。
V11-B12-G2-008	3	0.0011	Kaho was ready to report that result, but she noticed that almost every response came from students who already used the library.	カホはその結果を報告しようとしましたが、ほとんどの回答者がもともと図書室を利用している生徒だと気づきました。
V11-B12-G2-008	4	0.2465	The committee printed the same question and collected answers in the cafeteria, courtyard, and club building too.	そこで委員会は同じ質問を紙にも印刷し、食堂、中庭、部活動棟でも回答を集めました。
V11-B12-G2-008	5	0.0091	The new responses showed another need: many students wanted a quiet place near the club rooms before practice.	新しい回答からは、練習前に部活動棟の近くで静かに勉強できる場所を望む生徒も多いと分かりました。
V11-B12-G2-008	6	1.4852	The committee reported both patterns and explained how the first survey had missed some students.	委員会は二つの傾向を報告し、最初の調査では一部の生徒を十分に含められなかったことも説明しました。
V11-B12-G2-008	7	0.0489	By changing where they asked the question, they learned more about the whole school instead of only one group.	質問する場所を変えたことで、一つの利用者層だけでなく学校全体についてより多く学べました。
V11-B12-G2-009	1	0.1428	The cooking club opened a small cafe at the school festival.	料理部は文化祭で小さなカフェを開きました。
V11-B12-G2-009	2	0.0496	Its menu was written neatly by hand, but visitors often stood at the front of the line for a long time before ordering.	メニューは丁寧な手書きでしたが、来場者が注文を決めるまで列の先頭で長く止まることがよくありました。
V11-B12-G2-009	3	0.0602	The club first thought there were too many choices.	部員は最初、選択肢が多すぎるのだと思いました。
V11-B12-G2-009	5	0.04	The club rewrote the menu with three clear sections, put prices on the same side, and covered sold-out items with gray cards.	そこでメニューを三つの明確な区分に分け、値段を同じ側にそろえ、売り切れ品には灰色のカードをかぶせました。
V11-B12-G2-009	6	0.0829	They kept the same number of choices.	選択肢の数は変えていません。
V11-B12-G2-009	7	1.3763	In the next hour, orders moved faster and fewer people asked about prices.	次の一時間では注文が早く進み、値段についての質問も減りました。
V11-B12-G2-009	8	0.0447	The test showed that the problem was information order, not simply menu length.	問題は単にメニューが長いことではなく、情報の並べ方だと分かりました。
V11-B12-G2-010	1	0.3029	The PE room had a high shelf for several kinds of balls.	体育倉庫には、いろいろな種類のボールを置く高い棚がありました。
V11-B12-G2-010	2	0.0496	After practice, a heavy medicine ball rolled forward when a student pulled a lighter ball from behind it.	練習後、ある生徒が後ろの軽いボールを取ろうとしたとき、重いメディシンボールが前へ転がりました。
V11-B12-G2-010	3	0.0266	The teacher caught it before it fell.	先生が落ちる前に受け止めました。
V11-B12-G2-010	4	0.0424	The class safety team examined the shelf instead of blaming the student.	安全係はその生徒を責めるのではなく、棚の使い方を調べました。
V11-B12-G2-010	5	0.0056	They found that the heaviest balls were stored above shoulder height and often had to be moved to reach lighter ones.	最も重いボールが肩より高い位置にあり、軽い物を取るためによく動かさなければならないと分かりました。
V11-B12-G2-010	6	0.0714	The team placed the heavy balls in low floor racks and kept lighter balls on the upper shelf.	そこで重いボールを床に近いラックへ置き、軽いボールを上の棚に残しました。
V11-B12-G2-010	7	0.4301	They also marked spaces so equipment would be returned to the same place.	戻す場所が同じになるよう印も付けました。
V11-B12-G2-010	8	0.1377	During the next week, students no longer needed to lift heavy balls out of the way.	翌週、生徒たちは重いボールをどけて取る必要がなくなりました。
V11-B12-G2-010	9	0.2571	Changing storage by weight and height removed the repeated risk.	重さと高さに合わせて保管方法を変えることで、繰り返す危険をなくしました。
V11-B12-G2-011	1	0.1425	Students planned a local history walk from school to an old stone bridge.	生徒たちは学校から古い石橋までの地域歴史ウォークを計画しました。
